date;pre;pet;sol
20/11/2006;0.6;3.970279;592.1
21/11/2006;9.2;3.970279;592.1
22/11/2006;10.6;3.970279;592.1
23/11/2006;4;3.970279;592.1
24/11/2006;0.4;3.970279;592.1
25/11/2006;1.2;3.970279;592.1
26/11/2006;2.2;3.970279;592.1
27/11/2006;12.6;3.970279;592.1
28/11/2006;5.8;3.970279;592.1
29/11/2006;6.8;3.970279;592.1
30/11/2006;3;3.970279;592.1
01/12/2006;0.2;3.970279;592.1
02/12/2006;2.8;3.970279;592.1
03/12/2006;0.8;3.970279;592.1
04/12/2006;10.4;3.970279;592.1
05/12/2006;9.6;3.970279;592.1
06/12/2006;2;3.970279;592.1
07/12/2006;5.4;3.970279;592.1
08/12/2006;62.8;3.970279;592.1
09/12/2006;41.8;3.970279;592.1
10/12/2006;4;3.970279;592.1
11/12/2006;1.6;3.970279;592.1
12/12/2006;0;3.970279;592.1
13/12/2006;0.6;3.970279;592.1
14/12/2006;2;3.970279;592.1
15/12/2006;2.2;3.970279;592.1
16/12/2006;19.6;3.970279;592.1
17/12/2006;0;3.970279;592.1
18/12/2006;0;3.970279;592.1
19/12/2006;25.8;3.970279;592.1
20/12/2006;21.6;3.970279;592.1
21/12/2006;13.6;3.970279;592.1
22/12/2006;70.8;3.970279;592.1
23/12/2006;10.4;3.970279;592.1
24/12/2006;40.8;3.970279;592.1
25/12/2006;0;3.970279;592.1
26/12/2006;1;3.970279;592.1
27/12/2006;0.2;3.970279;592.1
28/12/2006;0.6;3.970279;592.1
29/12/2006;50.4;3.970279;592.1
30/12/2006;5.8;3.970279;592.1
31/12/2006;0.8;3.970279;592.1
01/01/2007;0;3.970279;592.1
02/01/2007;32.2;3.970279;592.1
03/01/2007;57.4;3.970279;592.1
04/01/2007;9.4;3.970279;592.1
05/01/2007;11;3.970279;592.1
06/01/2007;0.8;3.970279;592.1
07/01/2007;0.2;3.970279;592.1
08/01/2007;1;3.970279;592.1
09/01/2007;4.2;3.970279;592.1
10/01/2007;2.4;3.970279;592.1
11/01/2007;0;3.970279;592.1
12/01/2007;0.2;3.970279;592.1
13/01/2007;1;3.970279;592.1
14/01/2007;40.6;3.970279;592.1
15/01/2007;5.6;3.970279;592.1
16/01/2007;3;3.970279;592.1
17/01/2007;6.4;3.970279;592.1
18/01/2007;9.8;3.970279;592.1
19/01/2007;0;3.970279;592.1
20/01/2007;31.8;3.970279;592.1
21/01/2007;6.6;3.970279;592.1
22/01/2007;3.6;3.970279;592.1
23/01/2007;1.6;3.970279;592.1
24/01/2007;0.4;3.970279;592.1
25/01/2007;1.2;3.970279;592.1
26/01/2007;2.2;3.970279;592.1
27/01/2007;0.4;3.970279;592.1
28/01/2007;4;3.970279;592.1
29/01/2007;0.2;3.970279;592.1
30/01/2007;3;3.970279;592.1
31/01/2007;7;3.970279;592.1
01/02/2007;9.6;3.970279;592.1
02/02/2007;0.2;3.970279;592.1
03/02/2007;0;3.970279;592.1
04/02/2007;0.4;3.970279;592.1
05/02/2007;1.6;3.970279;592.1
06/02/2007;1;3.970279;592.1
07/02/2007;0.4;3.970279;592.1
08/02/2007;0.6;3.970279;592.1
09/02/2007;4.6;3.970279;592.1
10/02/2007;5.2;3.970279;592.1
11/02/2007;39.6;3.970279;592.1
12/02/2007;3.2;3.970279;592.1
13/02/2007;0.4;3.970279;592.1
14/02/2007;0;3.970279;592.1
15/02/2007;0.2;3.970279;592.1
16/02/2007;0.2;3.970279;592.1
17/02/2007;0;3.970279;592.1
18/02/2007;0;3.970279;592.1
19/02/2007;0;3.970279;592.1
20/02/2007;8;3.970279;592.1
21/02/2007;8.8;3.970279;592.1
22/02/2007;24.4;3.970279;592.1
23/02/2007;4.4;3.970279;592.1
24/02/2007;13.2;3.970279;592.1
25/02/2007;0.4;3.970279;592.1
26/02/2007;0.8;3.970279;592.1
27/02/2007;0.8;3.970279;592.1
28/02/2007;1;3.970279;592.1
01/03/2007;5.2;3.970279;592.1
02/03/2007;0.6;3.970279;592.1
03/03/2007;8.6;3.970279;592.1
04/03/2007;5;3.970279;592.1
05/03/2007;4.2;3.970279;592.1
06/03/2007;14.4;3.970279;592.1
07/03/2007;70.8;3.970279;592.1
08/03/2007;0.2;3.970279;592.1
09/03/2007;0;3.970279;592.1
10/03/2007;0;3.970279;592.1
11/03/2007;13.2;3.970279;592.1
12/03/2007;15;3.970279;592.1
13/03/2007;1.2;3.970279;592.1
14/03/2007;1.2;3.970279;592.1
15/03/2007;0.2;3.970279;592.1
16/03/2007;37.4;3.970279;592.1
17/03/2007;0.2;3.970279;592.1
18/03/2007;1.2;3.970279;592.1
19/03/2007;0.6;3.970279;592.1
20/03/2007;0.4;3.970279;592.1
21/03/2007;43;3.970279;592.1
22/03/2007;38.4;3.970279;592.1
23/03/2007;22.6;3.970279;592.1
24/03/2007;21.2;3.970279;592.1
25/03/2007;46.4;3.970279;592.1
26/03/2007;21;3.970279;592.1
27/03/2007;20;3.970279;592.1
28/03/2007;7;3.970279;592.1
29/03/2007;5.2;3.970279;592.1
30/03/2007;11.8;3.970279;592.1
31/03/2007;2.6;3.970279;592.1
01/04/2007;34.6;3.970279;592.1
02/04/2007;37.2;3.970279;592.1
03/04/2007;43.8;3.970279;592.1
04/04/2007;72.8;3.970279;592.1
05/04/2007;14.6;3.970279;592.1
06/04/2007;1;3.970279;592.1
07/04/2007;0.4;3.970279;592.1
08/04/2007;4.8;3.970279;592.1
09/04/2007;1.6;3.970279;592.1
10/04/2007;3.2;3.970279;592.1
11/04/2007;3.2;3.970279;592.1
12/04/2007;94.8;3.970279;592.1
13/04/2007;13;3.970279;592.1
14/04/2007;1.4;3.970279;592.1
15/04/2007;26.6;3.970279;592.1
16/04/2007;3.6;3.970279;592.1
17/04/2007;0.4;3.970279;592.1
18/04/2007;0;3.970279;592.1
19/04/2007;0.2;3.970279;592.1
20/04/2007;1.2;3.970279;592.1
21/04/2007;0;3.970279;592.1
22/04/2007;0;3.970279;592.1
23/04/2007;24.2;3.970279;592.1
24/04/2007;55;3.970279;592.1
25/04/2007;2.8;3.970279;592.1
26/04/2007;3;3.970279;592.1
27/04/2007;96;3.970279;592.1
28/04/2007;85.6;3.970279;592.1
29/04/2007;11;3.970279;592.1
30/04/2007;4.4;3.970279;592.1
01/05/2007;0.2;3.970279;592.1
02/05/2007;2;3.970279;592.1
03/05/2007;36.6;3.970279;592.1
04/05/2007;70.8;3.970279;592.1
05/05/2007;6.2;3.970279;592.1
06/05/2007;22.2;3.970279;592.1
07/05/2007;4.6;3.970279;592.1
08/05/2007;4.8;3.970279;592.1
09/05/2007;1.6;3.970279;592.1
10/05/2007;4;3.970279;592.1
11/05/2007;130.4;3.970279;592.1
12/05/2007;0.2;3.970279;592.1
13/05/2007;6.4;3.970279;592.1
14/05/2007;6.2;3.970279;592.1
15/05/2007;15;3.970279;592.1
16/05/2007;79.4;3.970279;592.1
17/05/2007;28.4;3.970279;592.1
18/05/2007;8.2;3.970279;592.1
19/05/2007;30.8;3.970279;592.1
20/05/2007;53.8;3.970279;592.1
21/05/2007;7.2;3.970279;592.1
22/05/2007;2.2;3.970279;592.1
23/05/2007;3.2;3.970279;592.1
24/05/2007;8.6;3.970279;592.1
25/05/2007;18.8;3.970279;592.1
26/05/2007;0.8;3.970279;592.1
27/05/2007;0;3.970279;592.1
28/05/2007;21.2;3.970279;592.1
29/05/2007;27.6;3.970279;592.1
30/05/2007;1;3.970279;592.1
31/05/2007;11.8;3.970279;592.1
01/06/2007;42;3.970279;592.1
02/06/2007;9.8;3.970279;592.1
03/06/2007;18.6;3.970279;592.1
04/06/2007;18.6;3.970279;592.1
05/06/2007;3.2;3.970279;592.1
06/06/2007;0.2;3.970279;592.1
07/06/2007;21;3.970279;592.1
08/06/2007;0.6;3.970279;592.1
09/06/2007;6.4;3.970279;592.1
10/06/2007;14;3.970279;592.1
11/06/2007;10.8;3.970279;592.1
12/06/2007;36.4;3.970279;592.1
13/06/2007;3.6;3.970279;592.1
14/06/2007;16.4;3.970279;592.1
15/06/2007;46.8;3.970279;592.1
16/06/2007;30.2;3.970279;592.1
17/06/2007;42;3.970279;592.1
18/06/2007;1.6;3.970279;592.1
19/06/2007;6.2;3.970279;592.1
20/06/2007;59.4;3.970279;592.1
21/06/2007;1.2;3.970279;592.1
